id,accuracy,precision,recall,f1
Brats18_TCIA10_325_1-84.jpg,0.5447916666666667,0.5447916666666667,0.5447916666666667,0.5447916666666667
Brats18_TCIA08_278_1-80.jpg,0.5399739583333334,0.5399739583333334,0.5399739583333334,0.5399739583333334
Brats18_CBICA_AXM_1-72.jpg,0.22897280092592595,0.2288563134707288,0.22633797885882212,0.22756384136967767
Brats18_TCIA02_208_1-76.jpg,0.11120153356481483,0.1087668733987381,0.13477818897422067,0.11902911167002972
Brats18_TCIA08_242_1-84.jpg,0.05558752893518519,0.036584143910516856,0.04574787484214963,0.040383955096645906
Brats18_TCIA02_226_1-84.jpg,0.04852963445216049,0.041214956669595466,0.0489493260895216,0.04469979282009456
Brats18_TCIA01_203_1-104,0.041466535080467375,0.04387350546565051,0.043009309779895,0.043360588687654016
Brats18_TCIA02_151_1-76.jpg,0.026025330773947312,0.021408732130138323,0.024183943415373117,0.022666562324776394
Brats18_TCIA13_645_1-100,0.01782997502426575,0.022298667934379734,0.025965225729788478,0.02398699463723269
Brats18_TCIA01_429_1-108,0.056079872502426575,0.05652674179343797,0.05689339757297884,0.05669557446372327
Brats18_TCIA13_624_1-108,0.05836521568203878,0.05840584016303982,0.05843917250663444,0.05842118858761121
Brats18_TCIA01_429_1-84.jpg,0.021119555010540265,0.018659968718682727,0.020537040550665162,0.019538771817168538
Brats18_CBICA_AQU_1-92.jpg,0.04459333115465695,0.044404132209129435,0.04454852235005117,0.0444717324474745
Brats18_CBICA_ABE_1-72.jpg,0.04336380936818978,0.04335029515779496,0.04336060873928937,0.04335512374624818
Brats18_CBICA_ABY_1-100,0.04664092062454598,0.04664001967718633,0.046640707249285956,0.04664034158308321
Brats18_CBICA_ARW_1-76.jpg,0.04124513566403412,0.041245079354824146,0.04124512232808037,0.0412450994739427
Brats18_2013_28_1-100,0.03597397856847259,0.03597397525616613,0.03597397778400473,0.03597397643964369
Brats18_TCIA01_180_1-72.jpg,0.03368258214269292,0.03368258195867589,0.033682582099111374,0.03368258202442465
Brats18_CBICA_AQO_1-80.jpg,0.012430662218036471,0.008747637077957811,0.01259483242600417,0.010255407184795395
Brats18_TCIA08_218_1-84.jpg,0.0071059081109018235,0.0074091049351069724,0.010951457438994578,0.008835018447034913
Brats18_TCIA10_175_1-76.jpg,0.011462715201048235,0.011604510530396852,0.011910028368070194,0.01174041486236261
Brats18_TCIA10_241_1-76.jpg,0.009725577963684012,0.007567168888231382,0.010411528175868105,0.008751691776606984
Brats18_CBICA_ATD_1-96.jpg,0.026656999766536987,0.02656315589369122,0.02668682368880586,0.026614656888837983
Brats18_TCIA05_396_1-72.jpg,0.00507193517545756,0.003949538002170613,0.004843701566921693,0.004336082680102763
Brats18_CBICA_ALN_1-84.jpg,0.023796627407018302,0.023751731520086822,0.023787498062676868,0.023767193307204112
Brats18_2013_25_1-108,0.0051820818233468575,0.004876134972994792,0.007219210212946269,0.005780529524626434
Brats18_CBICA_AAL_1-108,0.022472021549012847,0.022460690184184992,0.02254747074862764,0.02249418627868987
Brats18_TCIA10_413_1-104,0.02033382219817903,0.020333417506578032,0.020336516812450987,0.020334613795667495
Brats18_CBICA_ABE_1-80.jpg,0.004925304213730311,0.0034105466784582804,0.005347564428482017,0.004124028620634402
Brats18_TCIA10_625_1-108,0.016969732362679898,0.0169192404448375,0.016983807703171625,0.01694302317624337
Brats18_TCIA09_428_1-92.jpg,0.0039546687858929,0.004245946382454834,0.006671226715432086,0.005159443774400871
Brats18_TCIA10_109_1-104,0.004917420205114709,0.004556603548276695,0.005133165189969527,0.004822123879814908
Brats18_TCIA13_650_1-80.jpg,0.015537270309245902,0.0155263364711599,0.015543808036059682,0.015534382541812575
Brats18_CBICA_ASH_1-88.jpg,0.01918400059733076,0.019183679013857643,0.019184192883413522,0.01918391566299449
Brats18_2013_9_1-92.jpg,0.012155257159923737,0.012155247971824504,0.012155262653811814,0.012155254733228415
Brats18_TCIA10_637_1-84.jpg,0.005160176896417634,0.0051510546305341305,0.004846854641404983,0.004993991535017507
Brats18_TCIA08_234_1-72.jpg,0.004645845621825101,0.002861449126605014,0.005467349582418126,0.0037402680582817407
Brats18_CBICA_ASV_1-76.jpg,0.002911915528059725,0.0031266004267161214,0.004628485037926081,0.003730075775300229
Brats18_CBICA_ASV_1-72.jpg,0.016400786295591274,0.016406291036582463,0.01644480089840836,0.016421764763469238
Brats18_TCIA08_113_1-92.jpg,0.012421738407389782,0.012421876025914562,0.012422838772460209,0.012422262869086731
Brats18_TCIA13_633_1-100,0.013787471261968857,0.013787474618518243,0.013787498100141305,0.013787484053717563
Brats18_CBICA_AQY_1-84.jpg,0.014043550903062751,0.014043550982980593,0.014043551542066858,0.014043551207628195
Brats18_CBICA_AAG_1-100,0.01431641978844332,0.014316419790301875,0.01431641980330388,0.014316419795526237
Brats18_CBICA_ARW_1-108,0.00475876964165654,0.0040257572999716495,0.00508914434050652,0.004490651951384436
Brats18_TCIA13_633_1-72.jpg,0.010696028214259034,0.010679739051110481,0.010703369874233478,0.010690070043364098
Brats18_CBICA_AOZ_1-100,0.0028955658307447613,0.0031429572901610164,0.004035683286815812,0.003530003865087544
Brats18_TCIA03_121_1-104,0.010367458847462653,0.010372722495535341,0.010391716665676932,0.010380957529044416
Brats18_CBICA_ARZ_1-80.jpg,0.01201611893432214,0.012016228593656987,0.012016624305534936,0.012016400156855093
Brats18_CBICA_AUQ_1-88.jpg,0.011055175896618818,0.011055178134564428,0.01105518621031704,0.011055181635854186
