id,accuracy,precision,recall,f1,tumour_present
Brats18_TCIA10_442_1-80.jpg,0.0034885113182768633,0.003488531822219546,0.0034964086713253593,0.00348971888353847,True
Brats18_TCIA02_274_1-100,0.0006460123204150067,0.0003987081580303053,0.0028146356435950993,0.0006915048874591033,True
Brats18_TCIA03_338_1-108,0.0033686753538786853,0.0033678106540102073,0.003376257952910783,0.0033688344187984194,False
Brats18_CBICA_AQN_1-108,0.0003797689036720512,0.00035505997673713856,0.001987111836410003,0.0005967167434163344,False
Brats18_CBICA_AQR_1-108,0.0007044436420266391,0.0007055082098998068,0.002922959447595335,0.0011366127835285116,False
Brats18_TCIA10_628_1-92.jpg,0.003408399170618316,0.0034084028542441746,0.0034160756958971005,0.0034098945655716096,True
Brats18_TCIA01_425_1-100,0.0033321553994389136,0.0033321554121410715,0.003332181870215737,0.003332160555973235,False
Brats18_CBICA_BHM_1-72.jpg,0.0004682090105364452,0.0004694847136625976,0.0032975117287415688,0.000815451520919693,False
Brats18_TCIA01_221_1-76.jpg,0.003417283154906708,0.0034172875237530303,0.003426972547777273,0.0034184723415861024,False
Brats18_2013_18_1-104,0.000702789362303436,0.0006741337842680425,0.002940243988658053,0.0010921834816730643,True
Brats18_CBICA_ABN_1-84.jpg,0.0006911659502119165,0.0006950272207022497,0.003198534805405365,0.0011419030278310566,False
Brats18_TCIA06_247_1-88.jpg,0.0031793085663095696,0.0031793216553620794,0.003187808121750903,0.0031808364886065834,True
Brats18_TCIA08_162_1-104,0.003342080058970265,0.003342080103190037,0.003342108773684594,0.0033420852208699173,False
Brats18_TCIA10_637_1-92.jpg,0.003091534781343334,0.003091534781492222,0.0030915348780258737,0.0030915347987234675,False
Brats18_TCIA04_437_1-96.jpg,0.00334761094818497,0.00334761094818547,0.003347610948509408,0.003347610948243293,True
Brats18_CBICA_AUR_1-96.jpg,0.003286871887229158,0.0032868718872291597,0.003286871887230243,0.003286871887229353,True
Brats18_CBICA_ALN_1-100,0.003238271054438912,0.003238271054438912,0.0032382710544389156,0.0032382710544389126,True
Brats18_TCIA08_469_1-84.jpg,0.00045741765946472876,0.0004498627146182544,0.0018371892736882788,0.0007187533068935771,True
Brats18_TCIA02_118_1-80.jpg,0.003304552247584688,0.003304527231211024,0.003309121027764236,0.0033054175974106116,True
Brats18_CBICA_AQG_1-96.jpg,0.0032771441951698795,0.0032771441126075904,0.0032771592736523204,0.0032771470511098995,True
Brats18_CBICA_ASV_1-72.jpg,0.003224869991870076,0.00322486999159849,0.0032248700414703475,0.003224870001264616,False
Brats18_TCIA10_393_1-84.jpg,0.0006745077704651478,0.0006441221372081066,0.003270273898164631,0.0010714760336986938,True
Brats18_TCIA10_266_1-108,0.0031578415286616507,0.0031577422292065624,0.0031663244245038057,0.0031591388105676427,True
Brats18_TCIA02_374_1-96.jpg,0.0005534004971979569,0.0004795406834706515,0.003124296966740851,0.0008258944396966302,True
Brats18_CBICA_BHB_1-88.jpg,0.0032107839482232257,0.0032105441436332018,0.0032191310146827807,0.0032116686688157536,False
Brats18_CBICA_AOH_1-76.jpg,0.00321646558990795,0.0032164648138413156,0.003216492603068013,0.0032164684530813885,False
