id,accuracy,precision,recall,f1,tumour_present
Brats18_CBICA_AQY_1-100,0.06144886294482107,0.06117595598133633,0.061320474265079666,0.061241740557314316,False
Brats18_TCIA10_346_1-92.jpg,0.02438099740559322,0.024690770055817716,0.029050913359248125,0.026642620067815002,True
Brats18_TCIA08_218_1-72.jpg,0.01557504016818524,0.01629460440011968,0.018197977255609718,0.0171871903221711,False
Brats18_TCIA09_493_1-76.jpg,0.03970937834734877,0.039769342033343306,0.039927956437967475,0.03984372419351426,False
Brats18_TCIA02_135_1-104,0.015880422266035376,0.014314932950625357,0.013158451640891116,0.013704316306558132,True
Brats18_TCIA06_165_1-88.jpg,0.009472609526939036,0.008960188585345532,0.017179939461856458,0.011642284955136067,True
Brats18_CBICA_AYW_1-76.jpg,0.03472872952401816,0.034694568127911926,0.035242551519679324,0.03487337455256463,False
Brats18_TCIA01_378_1-84.jpg,0.032932264345251136,0.032930129257994496,0.03296437821997996,0.03294130465953529,False
Brats18_TCIA12_466_1-88.jpg,0.034688417510504964,0.03468829191713693,0.03469030656195961,0.03468894929369815,True
Brats18_CBICA_AOZ_1-100,0.00873268986169472,0.009365810456301846,0.011646020437847416,0.01035439205802006,True
Brats18_TCIA02_321_1-96.jpg,0.006906983676931301,0.006952346569492562,0.007670641044063795,0.0072902785142991994,True
Brats18_2013_22_1-92.jpg,0.027793265850513234,0.027795533995141296,0.027831448718869854,0.027812430592381625,True
Brats18_CBICA_ASE_1-72.jpg,0.009020248109283698,0.008497375459261521,0.0116480408265116,0.009789289199719923,False
Brats18_TCIA08_278_1-88.jpg,0.026783117338300775,0.026759350399663404,0.026902562461811132,0.026818073751502417,True
Brats18_TCIA13_650_1-100,0.02392263553644786,0.023921602191289713,0.02392782880268744,0.023924155380500106,True
Brats18_TCIA10_410_1-72.jpg,0.005175017221426068,0.004513391277624909,0.004528341328562196,0.004520827654620393,False
Brats18_CBICA_ALN_1-108,0.0066070006888570435,0.005808078687098737,0.007253191551191576,0.006448480472587717,True
Brats18_CBICA_ATD_1-96.jpg,0.023461246821366296,0.023430519052067902,0.02348610031607147,0.023455149889971324,True
Brats18_TCIA04_192_1-108,0.007558749882272826,0.00706335861671296,0.010839677963041916,0.008510797918360466,True
Brats18_TCIA10_266_1-76.jpg,0.021475312495795457,0.02145761995059689,0.02159248849868007,0.021509314211370017,False
Brats18_TCIA08_105_1-76.jpg,0.007467060584146203,0.00600369629655757,0.009150329291834252,0.007215373254225769,True
Brats18_CBICA_AOZ_1-92.jpg,0.0051470501676196875,0.005150252872761773,0.006756665813510665,0.005842535174980575,True
Brats18_TCIA13_618_1-104,0.01982329194089096,0.019823395253960055,0.019875215026242277,0.019845726941128405,True
Brats18_CBICA_AQO_1-80.jpg,0.006947602873152843,0.004760809930515081,0.007046701531912817,0.0056567462946192585,False
Brats18_TCIA04_361_1-92.jpg,0.005898664733529885,0.0041846710079954065,0.0077708614856312145,0.005437041654718246,True
Brats18_CBICA_AXO_1-76.jpg,0.0036069051719012056,0.003911907086708779,0.005841663008275643,0.004683896756726431,True
Brats18_TCIA10_442_1-88.jpg,0.01606287586205432,0.016071590202477393,0.01612672608595073,0.016093647050192183,True
Brats18_CBICA_AOO_1-72.jpg,0.013850415533205214,0.013850657598216964,0.013852189150535668,0.013851270288431264,False
Brats18_TCIA03_257_1-96.jpg,0.013254403122519059,0.013254409664816674,0.013254451058122585,0.013254426224011656,False
Brats18_TCIA08_205_1-84.jpg,0.0034208030061481623,0.0026650483910188537,0.0038909292857636823,0.0031497295261763564,True
Brats18_TCIA13_621_1-108,0.0035350063448869903,0.0030814686564451612,0.0048929939636671825,0.0037809844496989563,True
Brats18_TCIA08_278_1-100,0.011611812658622175,0.011600474216411128,0.01164576234909168,0.011617962111242473,True
Brats18_TCIA02_179_1-104,0.01371690396728347,0.013716627419912466,0.01371773200851443,0.013717053953932742,True
Brats18_CBICA_AWH_1-104,0.003527651152660189,0.003119130610462218,0.0038166080135422623,0.0034291528297486344,True
Brats18_TCIA10_175_1-84.jpg,0.0055148549363667745,0.004692925227738009,0.009337384456839303,0.006242007942960968,True
Brats18_TCIA02_394_1-100,0.011045081930371972,0.011026401709721318,0.011131957601291802,0.011061608135067295,False
Brats18_TCIA03_121_1-88.jpg,0.005436804289810734,0.004830854998009091,0.009472959405701326,0.0063721840351931985,True
Brats18_2013_22_1-96.jpg,0.011072675093256755,0.011059502282565414,0.011160417595776117,0.011093009435547679,True
Brats18_TCIA10_282_1-96.jpg,0.011583106562267874,0.011582826289699972,0.011584973424023605,0.011583539207848532,True
Brats18_CBICA_ABE_1-72.jpg,0.011922087289491692,0.011922081450479861,0.011922126182444938,0.011922096302941288,False
Brats18_TCIA01_335_1-104,0.0032421741170191045,0.003550433039405656,0.0034341213529814844,0.0034912360494714174,False
Brats18_CBICA_ARW_1-92.jpg,0.011549218482340383,0.011555383660788112,0.01155305742705963,0.011554199720989429,True
Brats18_TCIA12_298_1-92.jpg,0.003234352867845454,0.0034214912615699185,0.004642256581015324,0.003933959335921663,True
Brats18_TCIA01_429_1-92.jpg,0.003956429862843182,0.0020590124975107807,0.0026921716883902226,0.002333271324921659,False
Brats18_TCIA02_117_1-76.jpg,0.003093517544581947,0.0021340873876439593,0.002814614787711165,0.002427555948259423,False
Brats18_CBICA_ATF_1-80.jpg,0.010329278102677444,0.010311510877548962,0.010324113236809465,0.010316945480523322,False
Brats18_TCIA13_621_1-80.jpg,0.0024150777836850447,0.0023427573975081896,0.0026458590624535393,0.0024843506408010513,False
Brats18_CBICA_AOP_1-92.jpg,0.01169212192470866,0.011690830489241218,0.011696243018972385,0.011693358940014305,True
Brats18_CBICA_BHB_1-76.jpg,0.009525300384644012,0.009525277727881426,0.009525372684543376,0.009525322086666918,False
Brats18_CBICA_AAB_1-84.jpg,0.0020799381292371574,0.0021708926711411507,0.003338057596661722,0.002622994280319779,True
Brats18_TCIA06_211_1-108,0.006920846408970122,0.006922388011375274,0.006942170467740029,0.006930050750513894,False
Brats18_TCIA08_280_1-72.jpg,0.008904409940149504,0.00890443563352292,0.008904765341129,0.008904563345841898,True
Brats18_CBICA_AQY_1-92.jpg,0.009047100982625402,0.009047101403828245,0.009047106808870968,0.009047103497472817,False
Brats18_TCIA08_234_1-100,0.008995887381440195,0.00899588738823379,0.008995887475411898,0.00899588742200225,True
